latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
11.67341,23.47178,316.75,0.5,0.41,2025-10-31,16,N,VIIRS,n,2.0NRT,288.01,2.15,N
11.67716,23.47233,308.69,0.5,0.41,2025-10-31,16,N,VIIRS,n,2.0NRT,288.48,1.58,N
11.67805,23.4447,302.54,0.5,0.41,2025-10-31,16,N,VIIRS,n,2.0NRT,285.6,1.02,N
11.76455,29.13212,308.84,0.38,0.59,2025-10-31,16,N,VIIRS,n,2.0NRT,288.34,0.87,N
11.87303,23.5498,308.14,0.5,0.41,2025-10-31,16,N,VIIRS,n,2.0NRT,281.56,1.61,N
11.87892,23.56028,303.87,0.5,0.41,2025-10-31,16,N,VIIRS,n,2.0NRT,281.4,1.58,N
11.88266,23.56096,323.09,0.5,0.41,2025-10-31,16,N,VIIRS,n,2.0NRT,281.53,1.58,N
11.88344,23.55638,310.11,0.5,0.41,2025-10-31,16,N,VIIRS,n,2.0NRT,279.34,1.58,N
11.96383,22.41977,303.26,0.44,0.38,2025-10-31,16,N,VIIRS,n,2.0NRT,289.6,0.86,N
11.96803,22.41636,301.9,0.44,0.38,2025-10-31,16,N,VIIRS,n,2.0NRT,290.5,0.99,N
11.97793,22.50932,304.39,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,289.27,0.61,N
11.98449,22.44816,304.27,0.44,0.38,2025-10-31,16,N,VIIRS,n,2.0NRT,292.18,0.71,N
11.98516,22.44413,307.55,0.44,0.38,2025-10-31,16,N,VIIRS,n,2.0NRT,293.02,1.75,N
12.21303,25.58657,299.81,0.43,0.46,2025-10-31,16,N,VIIRS,n,2.0NRT,285.44,0.46,N
12.21373,25.58259,317.27,0.43,0.46,2025-10-31,16,N,VIIRS,n,2.0NRT,286.84,2.23,N
12.21794,25.58337,317.36,0.43,0.46,2025-10-31,16,N,VIIRS,n,2.0NRT,287.1,1.13,N
12.22215,25.58416,298.07,0.43,0.46,2025-10-31,16,N,VIIRS,n,2.0NRT,285.32,1.13,N
12.27907,28.3068,299.82,0.33,0.55,2025-10-31,16,N,VIIRS,n,2.0NRT,289.67,0.83,N
12.288,28.31475,302.56,0.33,0.55,2025-10-31,16,N,VIIRS,n,2.0NRT,289.6,0.83,N
